书名,评分,读完时间,备注,豆瓣链接,月份,作者
AI 3.0,★★★★★,2024/1/20,[美] 梅拉妮·米歇尔 / 王飞跃、李玉珂、王晓、张慧 / 四川科学技术出版社·湛庐 / 2021-2 / 99.90元,https://book.douban.com/subject/35351678/,1月,[美] 梅拉妮·米歇尔
阅读的故事,★★★★,2024/1/28,唐诺 / 上海人民出版社 / 2010年8月 / 32.00元,https://book.douban.com/subject/2377014/,1月,唐诺
我们仨,★★★★,2024/2/15,杨绛 / 生活·读书·新知三联书店 / 2012-9 / 23.00元,https://book.douban.com/subject/19958089/,2月,杨绛
基督山伯爵: 全3册,★★★★,2024/2/16,[法]大仲马 / 周克希 / 江苏凤凰文艺出版社 / 2018-9 / 168.00元,https://book.douban.com/subject/30297123/,2月,[法]大仲马
书店,★★★,2024/2/17,(英)佩内洛普·菲兹杰拉德 / 尹晓冬 / 新星出版社 / 2010-3 / 20.00元,https://book.douban.com/subject/4703921/,2月,(英)佩内洛普·菲兹杰拉德
东京一年,★★★,2024/2/21,蒋方舟、【日】伊藤王树 摄 / 中信出版社 / 2017-8 / 68.00元,https://book.douban.com/subject/27074861/,2月,蒋方舟、【日】伊藤王树 摄
洞见: 从科学到哲学，打开人类的认知真相,★★★★,2024/3/16,[美] 罗伯特·赖特 / 宋伟 / 北京联合出版公司 / 2020-8 / 78.00元,https://book.douban.com/subject/35140470/,3月,[美] 罗伯特·赖特
情色朝鮮: 那些被迫忍受、壓抑的韓國近代性慾實錄,★★★,2024/3/19,朴永圭 / 徐小為 / PCuSER電腦人文化 / 2020-6-13 / NTD 460,https://book.douban.com/subject/35086548/,3月,朴永圭
喻世名言: 《三言二拍》“三言”之一,★★★,2024/4/6,冯梦龙 / 大众文艺出版社 / 2002-7-1 / 11.00元,https://book.douban.com/subject/1411845/,4月,冯梦龙
巨流河,★★★★,2024/4/14,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,https://book.douban.com/subject/4842446/,4月,齐邦媛
高兴死了！！！,★★★,2024/4/16,[美] 珍妮·罗森 / 吴洁静 / 江苏凤凰文艺出版社 / 2018-4 / 59.90,https://book.douban.com/subject/30155726/,4月,[美] 珍妮·罗森
旅行与读书,★★★,2024/4/20,詹宏志 / 中信出版社 / 2016-8 / 49.00元,https://book.douban.com/subject/26831788/,4月,詹宏志
微晕的树林,★,2024/4/30,简媜 / 文化艺术出版社 / 2009年11月 / 20.00元,https://book.douban.com/subject/4145556/,4月,简媜
芯片战争: 世界最关键技术的争夺战,★★★★,2024/5/5,[美]克里斯·米勒 / 蔡树军 / 浙江人民出版社 / 2023-5 / 88.00,https://book.douban.com/subject/36350632/,5月,[美]克里斯·米勒
冬牧场,★★★★,2024/5/12,李娟 / 新星出版社 / 2012-6 / 29.80元,https://book.douban.com/subject/10522856/,5月,李娟
读书毁了我,★★★★,2024/5/16,（美） 琳莎?施瓦茨 / 李斯 / 光明日报出版社 / 2000-01 / 18.00,https://book.douban.com/subject/1061248/,5月,（美） 琳莎?施瓦茨
流行歌词写作教程,★★★,2024/5/31,尤静波 / 大众文艺出版社 / 2011-5 / 36.00元,https://book.douban.com/subject/6560910/,5月,尤静波
武林外史（上、中、下）,★★★,2024/6/8,古龙 / 花城出版社 / 1992-10-1 / 58.80元,https://book.douban.com/subject/1209675/,6月,古龙
了不起的盖茨比,★★★★,2024/6/11,（美）菲茨杰拉德 / 陈伯雨 / 中国华侨出版社 / 2018-7 / 36.00元,https://book.douban.com/subject/30350973/,6月,（美）菲茨杰拉德
微积分的力量,★★★★,2024/6/23,【美】史蒂夫·斯托加茨（Steven Strogatz） / 任烨 / 中信出版集团 / 2021-1 / 69.00元,https://book.douban.com/subject/35292688/,6月,【美】史蒂夫·斯托加茨（Steven Strogatz）
大师们的写作课: 好文笔是读出来的,★★★★,2024/6/30,舒明月 / 江苏凤凰文艺出版社 / 2016-10 / 32.00,https://book.douban.com/subject/26890188/,6月,舒明月
费曼学习法（用输出倒逼输入）,★★,2024/7/6,尹红心 李伟 / 江苏凤凰文艺出版社 / 2021-3-13 / 45,https://book.douban.com/subject/35368398/,7月,尹红心 李伟
鹿川有许多粪,★★★★★,2024/7/13,李沧东 / 春喜 / 武汉大学出版社 / 2021-8 / 58.00元,https://book.douban.com/subject/35517022/,7月,李沧东
杜撰集,★★★★,2024/7/25,[阿根廷] 豪·路·博尔赫斯 / 王永年 / 上海译文出版社 / 2015-6 / 23.00元,https://book.douban.com/subject/25796061/,7月,[阿根廷] 豪·路·博尔赫斯
遍地枭雄,★★★,2024/7/31,王安忆 / 文汇出版社 / 2005-5 / 22.00元,https://book.douban.com/subject/1312551/,7月,王安忆
工作、消费主义和新穷人,★★★★,2024/8/4,[英]齐格蒙特·鲍曼 / 郭楠 / 上海社会科学院出版社 / 2021-9 / 45.00元,https://book.douban.com/subject/35593780/,8月,[英]齐格蒙特·鲍曼
房思琪的初恋乐园,★★★★★,2024/8/11,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,https://book.douban.com/subject/27614904/,8月,林奕含
规模: 复杂世界的简单法则,★★,2024/8/17,杰弗里·韦斯特 (Geoffrey West) / 张培、张江 校译 / 中信出版社 / 2018-6 / CNY 98.00,https://book.douban.com/subject/30244461/,8月,杰弗里·韦斯特 (Geoffrey West)
熊猫的拇指: 那些有趣的生命现象和生物进化的故事,★★★★,2024/9/1,[美]斯蒂芬·杰·古尔德（Stephen Jay Gould） / 田洺 / 海南出版社 / 2016-5 / 38.00元,https://book.douban.com/subject/26775257/,9月,[美]斯蒂芬·杰·古尔德（Stephen Jay Gould）
12堂文学阅读课,★★★,2024/9/7,王蒙、王安忆 / 上海交通大学出版社 / 2017-8-1 / 49.00,https://book.douban.com/subject/27028006/,9月,王蒙、王安忆
文明之光 （第三册）,★★★,2024/9/17,吴军 / 人民邮电出版社 / 2015-1-1 / 59,https://book.douban.com/subject/26275177/,9月,吴军
老人与海,★★★★,2024/9/24,[美] 欧内斯特·海明威 / 鲁羊 / 浙江文艺出版社 / 2017-3-1 / 39.80元,https://book.douban.com/subject/26983338/,9月,[美] 欧内斯特·海明威
生命3.0: 人工智能时代，人类的进化与重生,★★★,2024/10/2,[美] 迈克斯·泰格马克 / 汪婕舒 / 浙江教育出版社 / 2018-6 / 99.90元,https://book.douban.com/subject/30262617/,10月,[美] 迈克斯·泰格马克
沉沦,★★★★,2024/10/27,郁达夫 / 作家出版社 / 2000-7 / 8.00元,https://book.douban.com/subject/1086444/,10月,郁达夫
铁在烧: 中国人民志愿军铁原大战实录,★★★★,2024/10/28,萨苏 / 人民出版社 / 2011-1 / 29.80元,https://book.douban.com/subject/5440145/,10月,萨苏
音乐影响了我的写作,★★★★★,2024/10/30,余华 / 作家出版社 / 2012-9,https://book.douban.com/subject/26273817/,10月,余华
卡片笔记写作法: 如何实现从阅读到写作,★★★★,2024/11/2,[德] 申克·阿伦斯 / 陈琳 / 人民邮电出版社 / 2021-7 / 69.80元,https://book.douban.com/subject/35503571/,11月,[德] 申克·阿伦斯
写给大家看的色彩书1: 设计配色基础,★★★,2024/11/6,梁景红（Relen）  编著 / 人民邮电出版社 / 2011-1-1 / 49.00元,https://book.douban.com/subject/5914791/,11月,梁景红（Relen）  编著
许子东现代文学课,★★★★,2024/11/10,许子东 / 上海三联书店 / 2018-6 / 69.00,https://book.douban.com/subject/30197986/,11月,许子东
吴军阅读与写作讲义: 构建理解他人、表达自我的能力,★★★,2024/11/17,吴军 / 新星出版社 / 2021-5-1 / 99.00元,https://book.douban.com/subject/35426741/,11月,吴军
我本芬芳,★★★,2024/11/29,杨本芬 / 北京联合出版公司 / 2022-2-1 / 39.80,https://book.douban.com/subject/35695541/,11月,杨本芬
蔡骏24堂写作课,★★★,2024/11/30,蔡骏 / 长江文艺出版社 / 2019-11 / 42,https://book.douban.com/subject/34900788/,11月,蔡骏
秧歌,★★★★★,2024/12/7,張愛玲 / 皇冠 / 2020-2-17 / NTD 260,https://book.douban.com/subject/34973828/,12月,張愛玲
一只鸟接着一只鸟: 关于写作与人生的建议,★★★★,2024/12/8,[美]安·拉莫特 / 朱耘 / 中信出版集团 / 2023-3 / 56.00元,https://book.douban.com/subject/36210180/,12月,[美]安·拉莫特
光年,★★★★,2024/12/14,[美国] 詹姆斯·索特 / 孔亚雷 / 广西师范大学出版社 / 2018-5 / 67.00元,https://book.douban.com/subject/27602608/,12月,[美国] 詹姆斯·索特
最美唐诗,★★★,2024/12/22,苏缨、毛晓雯 / 北京联合出版公司 / 2015-8 / 42.00,https://book.douban.com/subject/26691119/,12月,苏缨、毛晓雯
我在北京送快递,★★★★,2024/12/22,胡安焉 / 湖南文艺出版社 / 2023-3 / 56.00元,https://book.douban.com/subject/36150423/,12月,胡安焉
正见,★★★,2024/12/29,宗萨蒋扬钦哲仁波切 / 姚仁喜 / 新星出版社 / 2017-9 / 45,https://book.douban.com/subject/27136747/,12月,宗萨蒋扬钦哲仁波切
Python网络爬虫权威指南（第2版）,★★★,2024/12/29,[美] 瑞安 ? 米切尔 / 神烦小宝 / 人民邮电出版社 / 2019-4 / 79.00元,https://book.douban.com/subject/33386709/,12月,[美] 瑞安 ? 米切尔
走出唯一真理观,★★★★,2024/12/30,陈嘉映 / 上海文艺出版社 / 2020-5 / 58,https://book.douban.com/subject/34988734/,12月,陈嘉映
